         754262 function calls (753796 primitive calls) in 20.095 CPU seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6582   12.939    0.002   12.939    0.002 {method 'recv' of '_socket.socket' objects}
       12    2.095    0.175    2.095    0.175 {_socket.getaddrinfo}
       11    0.526    0.048    0.526    0.048 {method 'readlines' of 'file' objects}
   298792    0.507    0.000    0.507    0.000 {ord}
      150    0.476    0.003    0.867    0.006 /usr/lib/python2.6/dist-packages/chardet/sbcharsetprober.py:63(feed)
       40    0.465    0.012    1.130    0.028 /usr/lib/python2.6/dist-packages/chardet/mbcharsetprober.py:52(feed)
    81015    0.457    0.000    0.597    0.000 /usr/lib/python2.6/dist-packages/chardet/codingstatemachine.py:40(next_state)
      250    0.270    0.001    0.270    0.001 {method 'query' of '_mysql.connection' objects}
       10    0.236    0.024    0.564    0.056 /usr/lib/python2.6/dist-packages/chardet/eucjpprober.py:51(feed)
       12    0.217    0.018    0.217    0.018 {method 'connect' of '_socket.socket' objects}
    79378    0.182    0.000    0.195    0.000 /usr/lib/python2.6/dist-packages/chardet/chardistribution.py:52(feed)
    79644    0.151    0.000    0.151    0.000 /usr/lib/python2.6/dist-packages/chardet/codingstatemachine.py:52(get_current_charlen)
       22    0.127    0.006    0.127    0.006 {posix.system}
     1054    0.121    0.000    0.121    0.000 {built-in method sub}
       10    0.052    0.005    0.089    0.009 /usr/lib/python2.6/dist-packages/chardet/latin1prober.py:109(feed)
    20437    0.051    0.000    0.062    0.000 /usr/lib/python2.6/dist-packages/chardet/jpcntx.py:134(feed)
      186    0.043    0.000    7.212    0.039 /usr/lib/python2.6/socket.py:375(readline)
     8497    0.041    0.000    0.119    0.000 /usr/lib/python2.6/re.py:229(_compile)
       11    0.036    0.003    0.037    0.003 {cPickle.dumps}
    16240    0.035    0.000    0.035    0.000 {method 'append' of 'list' objects}
     5562    0.034    0.000    0.089    0.000 /usr/lib/python2.6/re.py:134(match)
      916    0.030    0.000    0.075    0.000 /usr/lib/python2.6/logging/__init__.py:226(__init__)
     1832    0.028    0.000    0.194    0.000 /usr/lib/python2.6/logging/__init__.py:756(emit)
     1832    0.025    0.000    0.105    0.000 /usr/lib/python2.6/logging/__init__.py:423(format)
    11310    0.024    0.000    0.024    0.000 {method 'get' of 'dict' objects}
      903    0.024    0.000    0.045    0.000 /home/renlu/Dropbox/Private/devel/hyer/hyer/urlfunc.py:3(fix_url)
     8296    0.023    0.000    0.023    0.000 {built-in method match}
     1832    0.022    0.000    0.326    0.000 /usr/lib/python2.6/logging/__init__.py:660(handle)
     1832    0.022    0.000    0.022    0.000 {time.localtime}
     1832    0.021    0.000    0.054    0.000 /usr/lib/python2.6/logging/__init__.py:382(formatTime)
     4648    0.020    0.000    0.029    0.000 /usr/lib/python2.6/threading.py:801(currentThread)
     1866    0.020    0.000    0.039    0.000 /usr/lib/python2.6/threading.py:134(release)
       11    0.020    0.002   19.864    1.806 /home/renlu/Dropbox/Private/devel/hyer/hyer/spider.py:132(run_single_fetch)
       55    0.019    0.000    0.019    0.000 {built-in method findall}
     1832    0.019    0.000    0.019    0.000 {method 'flush' of 'file' objects}
     1866    0.019    0.000    0.038    0.000 /usr/lib/python2.6/threading.py:114(acquire)
     7901    0.016    0.000    0.016    0.000 {hasattr}
